feature,importance
hour_sin,0.07488883334645184
hour,0.06922144967721872
prev_sensor_idx,0.06801351600639803
last_sensor_idx,0.06139939390302722
hour_cos,0.052386088805607856
label_fraction,0.049800089001114725
count_M026,0.035579980297689155
motion_ratio,0.03427768426266531
count_M025,0.03048873939110806
dayofweek,0.028543336678605955
count_M009,0.026630191576583556
count_M019,0.025569869387386784
top_sensor_share,0.017912809955445762
on_count,0.016527887999308516
num_events,0.015822791769896385
last_equals_prev,0.015530278917675742
off_count,0.0154865331471789
count_M015,0.015316671322950894
unique_sensors,0.015280440163105783
motion_events,0.015193714900829465
event_rate_per_sec,0.015034156540831787
minute,0.014837941417044734
temp_min,0.014524950675945666
is_weekend,0.013395909426917672
count_M027,0.013325112946136437
count_M007,0.012726770960660792
count_M003,0.012463147985342236
count_T003,0.011641331677211852
temp_mean,0.01151406921749774
temp_events,0.011270379526362433
count_M014,0.011189056661876702
temp_max,0.010756120721489133
count_T004,0.009793956366461748
count_M004,0.009563528963154247
count_M005,0.009386252391669332
count_M018,0.00928103517646311
count_T005,0.009141871980225745
count_M020,0.008330603478170277
on_off_ratio,0.008209860840583902
count_T001,0.008021267030292835
burst_rate,0.007863847729833165
count_T002,0.007531715331349944
count_M021,0.007284060714287954
count_M002,0.006893267593803801
count_M017,0.006401323290819226
count_M031,0.005731484004781793
count_M013,0.005564248420345845
count_M006,0.005546960812151248
count_M008,0.005518912334344004
count_M028,0.005123545538922588
count_M016,0.004885293528798642
count_M024,0.003921529031345334
count_M022,0.003665493284222475
count_M010,0.002525929507855949
count_M012,0.0023851150014755954
count_M001,0.0019934211543374517
count_M023,0.001632871067556533
count_M029,0.00125012219456412
count_M011,0.0011623989247061556
door_events,0.0011569680098568746
