feature,importance
prev_sensor_idx,0.11702983028100207
last_sensor_idx,0.10705794756992629
hour,0.07452866416200683
hour_sin,0.0638963970872802
hour_cos,0.04717119162930523
count_M012,0.044632932488297895
count_M003,0.04073654834792532
count_M025,0.039764499530012314
count_M014,0.024444566423505513
count_M030,0.023924032799144183
count_M007,0.022618198841892433
count_M015,0.019108522313569094
count_M016,0.018720703067696222
count_M027,0.017686864653956115
dayofweek,0.017365013733532036
count_M009,0.017036921184717946
label_fraction,0.01681602832646589
count_M011,0.016607875262996123
motion_events,0.014431465002269786
num_events,0.014310312979951082
count_M026,0.013811864088970685
count_M010,0.013465341378629151
top_sensor_share,0.013340379941277717
count_M013,0.01330414744341271
event_rate_per_sec,0.013172485622911638
off_count,0.013104279370253113
on_count,0.012553704091601782
burst_rate,0.0121773635845905
unique_sensors,0.011719671069221395
minute,0.01142141860414273
count_M022,0.010683695119699186
count_M008,0.009913602641055215
count_M002,0.009740827454448457
count_M019,0.0087174920009333
is_weekend,0.006500113073987302
count_M018,0.00556261820976953
on_off_ratio,0.00555588326552999
temp_max,0.005060784878970051
temp_mean,0.004948814024245778
count_M024,0.004629956679013618
temp_min,0.004116873500292117
motion_ratio,0.003814267664926821
last_equals_prev,0.0034376358035509195
count_M021,0.003313237448554611
count_M017,0.002986395003257237
count_M020,0.0026558877531709345
count_M029,0.002486651995785835
count_M031,0.0024720795596612248
count_M005,0.002019479265042821
count_M023,0.0019320880018572528
count_M006,0.0019228917550619003
count_M001,0.0018791203447759797
count_M004,0.001876612845511266
temp_events,0.001775293530932483
count_M028,0.0016330746901320812
count_T005,0.001594127593660292
count_T001,0.0010007075000484605
count_T003,0.0006752026632995561
count_T002,0.0006351989772555361
count_T004,0.0005002158751063248
