dataset,best_model,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,top3_accuracy,train_rows,test_rows,num_classes
aruba,extra_trees,0.932642027829478,0.6420588049284263,0.9263050607108039,0.5456610534140441,0.9258041073354127,0.9978729061419835,105308,22566,7
cairo,catboost,0.795798319327731,0.6366867581155754,0.8411764705882353,0.5791853303196373,0.8404584860750214,0.9882352941176471,5551,1190,7
milan,hist_gb,0.8236387288608066,0.6318843609930541,0.7961724266072092,0.5384121278837782,0.7924885824044995,0.9370122630992196,25112,5382,9
tulum1,catboost,0.9572569281352747,0.8849959602290992,0.9441314553990611,0.8594071779833334,0.944137902697351,1.0,9937,2130,4
tulum2,random_forest,0.9067566383314346,0.8705000132522965,0.8705634913679783,0.7118471653830095,0.8696905791661418,0.9974585925861011,53251,11411,6
